anquancaozuo 安全操作
wucha 误差
wuchaguji 误差估计
wudongzuo 误动作
wufenlei 误分类
wujian 误检
wuma 误码
wumalv 误码率
xianjiaotongdaxue 西安交通大学
xianjiaotongdaxuechubanshe 西安交通大学出版社
xianjiaotongdaxueruanjianxueyuan 西安交通大学软件学院
ximoxing 吸墨性
xixiqi 吸锡器
xigou 析构
xigouhanshu 析构函数
xiqufanshi 析取范式
xishuji 稀疏集
xishushuju 稀疏数据
xishangjisuanji 膝上计算机
xitong 系统
xitonganzhuang 系统安装
xitongbianjie 系统边界
xitongbianshi 系统辨识
xitongceshi 系统测试
xitongcuowu 系统错误
xitongdi 系统地
xitongdianbo 系统颠簸
xitongdiaocha 系统调查
xitongdiaodu 系统调度
xitongdiaoyong 系统调用
xitongduiliequ 系统队列区
xitongdui 系统对
xitongfenpai 系统分派
xitongfenxi 系统分析
xitongfuwu 系统服务
xitonggaishu 系统概述
xitonggaoanquan 系统高安全
xitonggongzuozhan 系统工作栈
xitonggongneng 系统功能
xitonggongji 系统攻击
xitongguzhang 系统故障
xitongguanli 系统管理
xitongguanliyuan 系统管理员
xitonghexin 系统核心
xitonghulian 系统互连
xitonghuanjing 系统环境
xitonghuodong 系统活动
xitongjizonghe 系统级综合
xitongjicheng 系统集成
xitongjianrongxing 系统兼容性
xitongjiegou 系统结构
xitongjincheng 系统进程
xitongkaixiao 系统开销
xitongkexingxing 系统可行性
xitongkekaoxing 系统可靠性
xitongkeyongxing 系统可用性
xitongkongzhi 系统控制
xitongku 系统库
xitongkuochong 系统扩充
xitongmiyao 系统密钥
xitongmingling 系统命令
xitongmoni 系统模拟
xitongmubiao 系统目标
xitongmulu 系统目录
xitongmulubiao 系统目录表
xitongneihe 系统内核
xitongpan 系统盘
xitongpanzu 系统盘组
xitongpeizhi 系统配置
xitongpingjia 系统评价
xitongpohuaizhe 系统破坏者
xitongqidong 系统启动
xitongqueren 系统确认
xitongrenwu 系统任务
xitongrenwuji 系统任务集
xitongrizhi 系统日志
xitongruanjian 系统软件
xitongsheji 系统设计
xitongshenru 系统渗入
xitongshengji 系统升级
xitongshengcheng 系统生成
xitongshishi 系统实施
xitongsisuo 系统死锁
xitongsuo 系统锁
xitongtishifu 系统提示符
xitongtixijiegou 系统体系结构
xitongtuihua 系统退化
xitongwanzhengxing 系统完整性
xitongweihu 系统维护
xitongwendang 系统文档
xitongwenjian 系统文件
xitongwenjianjia 系统文件夹
xitongwucha 系统误差
xitongxiaoxi 系统消息
xitongxingneng 系统性能
xitongxuqiu 系统需求
xitongyanzheng 系统验证
xitongyebiao 系统页表
xitongyouhua 系统优化
xitongzaiqidong 系统再启动
xitongzhenduan 系统诊断
xitongzhongduan 系统中断
xitongzhongduanqingqiu 系统中断请求
xitongzhuliujuan 系统驻留卷
xitongzhuliuqu 系统驻留区
xitongzhuangui 系统转轨
xitongzhuangpei 系统装配
xitongzhuangkuang 系统状况
xitongziyuan 系统资源
xifen 细分
xihua 细化
xijiecengci 细节层次
xilidu 细粒度
xisuoyin 细索引
xiadian 瑕点
xiabiao 下标
xiabiaoyuejie 下标越界
xiabozhuangtai 下播状态
xiaxinglianlu 下行链路
xiajiangshijian 下降时间
xiajiangyan 下降沿
xialashixuandan 下拉式选单
xiatui 下推
xiatuibiao 下推表
xiatuiduilie 下推队列
xiatuizidongji 下推自动机
xiayizhuangtai 下一状态
xiayi 下溢
xiazai 下载
xiazhilingzibu 下指令字部
xianbei 先辈
xianxingfenye 先行分页
xianxingkongzhi 先行控制
xianxingsuanfa 先行算法
xianxingzhilingzhan 先行指令站
xianjian 先见
xianjinhouchu 先进后出
xianjinkongzhi 先进控制
xianjinxianchu 先进先出
xianzhishijian 闲置时间
xianshi 显示
xianshifangshi 显示方式
xianshigeshi 显示格式
xianshiqi 显示器
xianshisuanfa 显示算法
xianshiwenjian 显示文件
xianshizhongduan 显示终端
xianshi 显式
xianshibingxingxing 显式并行性
xianshide 显式的
xianchangkehuanjian 现场可换件
xianchangkongzhizhan 现场控制站
xianchangshebei 现场设备
xianchangshengji 现场升级
xianchangzhuti 现场主体
xianchangzongxian 现场总线
xiandaihanyu 现代汉语
xianhuochanpin 现货产品
xianyongmulu 现用目录
xianbiao 线表
xiancheng 线程
xianchengdiaodu 线程调度
xianchengjiegou 线程结构
xianchengkongzhikuai 线程控制块
xiandianzu 线电阻
xianguangyuan 线光源
xianhuo 线或
xianjibian 线畸变
xianjianjinru 线间进入
xianjiansuo 线检索
xiankuang 线框
xianlan 线缆
xianluzaosheng 线路噪声
xianmidu 线密度
xianqueren 线确认
xianshuaijian 线衰减
xiantiaojiance 线条检测
xianxing 线型
xianxing 线性
xianxingguijie 线性归结
xianxingguihua 线性规划
xianxingjiance 线性检测
xianxingliushuixian 线性流水线
xianxingsousuo 线性搜索
xianxingtancha 线性探查
xianxingwenfa 线性文法
xianxingxitong 线性系统
xianxingyanyi 线性演绎
xianxingyuyan 线性语言
xianyanchi 线延迟
xiandingtuili 限定推理
xianmen 陷门
xiangbiandie 相变碟
xiangduidizhi 相对地址
xiangduihua 相对化
xiangguanceshi 相关测试
xiangguanguize 相关规则
xiangguanjiancha 相关检查
xiangguanpipei 相关匹配
xiangguanqudong 相关驱动
xiangguantance 相关探测
xiangguanxingguzhang 相关型故障
xiangrongshoulian 相容收敛
xiangrongxing 相容性
xiangsi 相似
xiangsixing 相似性
xiangsixingcedu 相似性测度
xiangsixingduliang 相似性度量
xiangsixinghu 相似性弧
xiangweibianma 相位编码
xiangweiyudu 相位裕度
xiangxin 相信
xiangxinluoji 相信逻辑
xiangying 响应
xiangyingchuangkou 响应窗口
xiangyingfenxi 响应分析
xiangyingshijian 响应时间
xiangda 想打
xiangdao 向导
xianghoukedaxing 向后可达性
xiangliang 向量
xiangliangbianma 向量编码
xiangliangchazhao 向量查找
xiangliangchuliqi 向量处理器
xianglianghua 向量化
xianglianghualv 向量化率
xiangliangjisuanji 向量计算机
xianglianglianghua 向量量化
xiangliangliushuixian 向量流水线
xiangliangpingbi 向量屏蔽
xiangliangsousuo 向量搜索
xiangliangxianshi 向量显示
xiangliangzhiling 向量指令
xiangliangzhongduan 向量中断
xiangqiankedaxing 向前可达性
xiangshangjianrong 向上兼容
xiangxiajianrong 向下兼容
xiangxinmoxing 向心模型
xiangmubu 项目簿
xiangmuguanli 项目管理
xiangmujihua 项目计划
xiangmujindu 项目进度
xiangmuwenjian 项目文件
xiangsu 像素
xiangpijinfangfa 橡皮筋方法
xiaoci 消磁
xiaohaojian 消耗件
xiaojieguize 消解规则
xiaomi 消密
xiaoshizhuangtai 消失状态
xiaoxi 消息
xiaoxichuli 消息处理
xiaoxichuandi 消息传递
xiaoxichuandiku 消息传递库
xiaoxicunchu 消息存储
xiaoxifangshi 消息方式
xiaoxipaidui 消息排队
xiaoxirizhi 消息日志
xiaoyin 消隐
xiaoshoudian 销售点
xiaobeiban 小背板
xiaobobaoji 小波包基
xiaobobianhuan 小波变换
xiaoboji 小波基
xiaoche 小车
xiaofuwuchengxu 小服务程序
xiaojianpan 小键盘
xiaopingmian 小平面
xiaoxingjisuanji 小型计算机
xiaoyingyongchengxu 小应用程序
xiaoyuzhong 小语种
xiaozhengxinhao 校正信号
xiechuliqi 协处理器
xiediao 协调
xiediaochengxu 协调程序
xiediaogongshi 协调公式
xiediaokongzhi 协调控制
xiediaozhe 协调者
xieshang 协商
xietongchuli 协同处理
xietongduomeiti 协同多媒体
xietonggongzuo 协同工作
xietongjisuan 协同计算
xietongjianchadian 协同检查点
xietonglicheng 协同例程
xietongzhuzuo 协同著作
xieyi 协议
xieyiguifan 协议规范
xieyijianbiefu 协议鉴别符
xieyishibai 协议失败
xieyishiti 协议实体
xieyitao 协议套
xieyiyingshe 协议映射
xieyizhan 协议栈
xieyizhuanhuan 协议转换
xiezuo 协作
xiezuochuli 协作处理
xiezuoduixiang 协作对象
xiezuofenbu 协作分布
xiezuohuanjing 协作环境
xiezuotu 协作图
xieti 斜体
xietouying 斜投影
xieboxinhao 谐波信号
xiebaohu 写保护
xieduchuanrao 写读串扰
xiefangwen 写访问
xiegengxinxieyi 写更新协议
xieguangbo 写广播
xiehoudu 写后读
xiehouxie 写后写
xiehui 写回
xieqianbuchang 写前补偿
xierenwu 写任务
xieshujuxian 写数据线
xiesuo 写锁
xietongguo 写通过
xiewuxiao 写无效
xiexuanzexian 写选择线
xiezhida 写直达
xiezhouqi 写周期
xiemi 泄密
xiemifashe 泄密发射
xiezai 卸载
xiezaiqu 卸载区
xieerpaixu 谢尔排序
xinjian 芯件
xinpian 芯片
xindao 信道
xindaorongliang 信道容量
xinhao 信号
xinhaobaifu 信号摆幅
xinhaochuli 信号处理
xinhaochuanshu 信号传输
xinhaodianyajiang 信号电压降
xinhaojiaohuan 信号交换
xinhaoliang 信号量
xinhaoqingbao 信号情报
xinhaotuihua 信号退化
xinhaoxian 信号线
xinhaoyuchuli 信号预处理
xinhaozhonggou 信号重构
xinling 信令
xinlingxutongdao 信令虚通道
xinlingzhongduan 信令终端
xinnian 信念
xinnianxiuzheng 信念修正
xinren 信任
xinrenlian 信任链
xinrenluoji 信任逻辑
xinxi 信息
xinxibianma 信息编码
xinxicaiji 信息采集
xinxichanye 信息产业
xinxichuli 信息处理
xinxidianbo 信息点播
xinxifankui 信息反馈
xinxifenlei 信息分类
xinxigongcheng 信息工程
xinxiguji 信息估计
xinxiguanli 信息管理
xinxijishu 信息技术
xinxijiansuo 信息检索
xinxijiegou 信息结构
xinxiketi 信息客体
xinxikongjian 信息空间
xinxiliulan 信息浏览
xinxiliu 信息流
xinxiliumoxing 信息流模型
xinximoxing 信息模型
xinxineirong 信息内容
xinxirongyu 信息冗余
xinxixitong 信息系统
xinxixieyi 信息协议
xinxiyinbi 信息隐蔽
xinxiyinxingxing 信息隐形性
xinxiyuan 信息源
xinxizhongxin 信息中心
xinxizhuguan 信息主管
xinxizhuti 信息主体
xinxiziyuan 信息资源
xinxiziduan 信息字段
xinyuan 信元
xinyuandiushilv 信元丢失率
xinyuanhuajie 信元划界
xinyuantou 信元头
xinghuanwang 星环网
xingtexing 星特性
xingzhuangwang 星状网
xingcan 形参
xingshifangfa 形式方法
xingshiguiyue 形式规约
xingshiguize 形式规则
xingshimiaoshu 形式描述
xingshituili 形式推理
xingshixitong 形式系统
xingshiyansuan 形式演算
xingshiyuyan 形式语言
xingshiyuyixue 形式语义学
xingzhuangfenge 形状分割
xingzhuangmiaoshu 形状描述
xingzhuangquxian 形状曲线
xingzhuangtezheng 形状特征
xingzhuangtuili 形状推理
xingzhuangyinzi 形状因子
xingwenfa 型文法
xingyewu 型业务
xingyuyan 型语言
xingneng 性能
xingnengbaozheng 性能保证
xingnengbi 性能比
xingnengceliang 性能测量
xingnengguanli 性能管理
xingnengguiyue 性能规约
xingnengjianshi 性能监视
xingnengpingjia 性能评价
xingnengxuqiu 性能需求
xingtai 性态
xiumian 休眠
xiumianduilie 休眠队列
xiumianfangshi 休眠方式
xiumianzhuangtai 休眠状态
xiubu 修补
xiugai 修改
xiugaijiance 修改检测
xiugaijiancema 修改检测码
xiujian 修剪
xiuli 修理
xiulishijian 修理时间
xiuwu 锈污
xubiao 虚表
xucanshu 虚参数
xucuncelve 虚存策略
xucunjizhi 虚存机制
xucunjiegou 虚存结构
xucunxitong 虚存系统
xudianlu 虚电路
xuduan 虚段
xuduanjiegou 虚段结构
xuhujiao 虚呼叫
xuhujiaosheshi 虚呼叫设施
xujiashanqu 虚假扇区
xukuabu 虚跨步
xuni 虚拟
xunicaozuoxitong 虚拟操作系统
xunichengyuan 虚拟成员
xunichuliqi 虚拟处理器
xunicipan 虚拟磁盘
xunicunchu 虚拟存储
xunicunchuqi 虚拟存储器
xunicunchuzhan 虚拟存储栈
xunidizhi 虚拟地址
xunifangshi 虚拟方式
xuniguangpan 虚拟光盘
xuniguangqu 虚拟光驱
xunihuanjing 虚拟环境
xuniji 虚拟机
xunijisuanji 虚拟计算机
xunijiaoshi 虚拟教室
xunijuyuwang 虚拟局域网
xunikongjian 虚拟空间
xunikongzhitai 虚拟控制台
xuniku 虚拟库
xunineicun 虚拟内存
xunipan 虚拟盘
xuniqiye 虚拟企业
xuniren 虚拟人
xuniruanpan 虚拟软盘
xunishebei 虚拟设备
xunishijie 虚拟世界
xunitushuguan 虚拟图书馆
xunixitong 虚拟系统
xunixianshi 虚拟现实
xunixunzhi 虚拟寻址
xunizhizao 虚拟制造
xunizhongduan 虚拟终端
xunizhuanyongwang 虚拟专用网
xunizhuangpei 虚拟装配
xuquyu 虚区域
xushunchuan 虚顺串
xutongdao 虚通道
xutongdaolianjie 虚通道连接
xutongdaolianlu 虚通道链路
xutonglu 虚通路
xutonglulianjie 虚通路连接
xutonglulianlu 虚通路链路
xuxian 虚线
xuye 虚页
xuyehao 虚页号
xufang 需方
xuqiu 需求
xuqiufenxi 需求分析
xuqiugongcheng 需求工程
xuqiuguiyue 需求规约
xuqiuhanshu 需求函数
xuqiujieduan 需求阶段
xuqiuqudong 需求驱动
xuqiushencha 需求审查
xuqiuyanzheng 需求验证
xuke 许可
xukequanqingdan 许可权清单
xukezheng 许可证
xuliehao 序列号
xuliehua 序列化
xuliemima 序列密码
xuanbian 悬边
xuanzhuan 旋转
xuanzhuanbianhuan 旋转变换
xuanzhuanqumian 旋转曲面
xuandan 选单
xuanjian 选件
xuanlu 选路
xuanqu 选取
xuantongxinhao 选通信号
xuanxiang 选项
xuanze 选择
xuanzetongdao 选择通道
xuanzewangluo 选择网络
xuanzezhuyi 选择注意
xuexi 学习
xuexicelve 学习策略
xuexichengxu 学习程序
xuexifengfan 学习风范
xuexigongneng 学习功能
xuexililun 学习理论
xueximoshi 学习模式
xuexiquxian 学习曲线
xuexizhuti 学习主体
xuexizidongji 学习自动机
xundao 寻道
xundaoshijian 寻道时间
xunjinghanshu 寻径函数
xunzhi 寻址
xunzhifangshi 寻址方式
xunyou 巡游
xunwenzhan 询问站
xunhuan 循环
xunhuanbubianshi 循环不变式
xunhuanceshi 循环测试
xunhuandiaodu 循环调度
xunhuanhuanchong 循环缓冲
xunhuanjiewei 循环借位
xunhuanjinwei 循环进位
xunhuanlianbiao 循环链表
xunhuanrongyujianyan 循环冗余检验
xunhuanwang 循环网
xunhuanyiwei 循环移位
xunhuanzhankai 循环展开
yasuo 压缩
yasuobao 压缩包
yasuohanshu 压缩函数
yasuolv 压缩率
yanchi 延迟
yanchijiazai 延迟加载
yanchirenwu 延迟任务
yanchishijian 延迟时间
yanchixian 延迟线
yanchizhuanyi 延迟转移
yanqichuli 延期处理
yanzhongcuowu 严重错误
yanzhongxing 严重性
yanyu 言语
yanyuhecheng 言语合成
yansexitong 颜色系统
yansezhifangtu 颜色直方图
yanma 掩码
yanmotu 掩模图
yanhuamoxing 演化模型
yanshichengxu 演示程序
yansuan 演算
yanyi 演绎
yanyiguize 演绎规则
yanyimoni 演绎模拟
yanyishu 演绎树
yanyishuju 演绎数据
yanyishujuku 演绎数据库
yanyishuxue 演绎数学
yanyituili 演绎推理
yanshou 验收
yanshouceshi 验收测试
yanshoujiancha 验收检查
yanshouzhunze 验收准则
yansuan 验算
yanzheng 验证
yanzhenghuabaohu 验证化保护
yanzhenghuasheji 验证化设计
yanzhengsuanfa 验证算法
yanzhengxitong 验证系统
yanzhengzhe 验证者
yangshengqi 扬声器
yangben 样本
yangbenfenbu 样本分布
yangbenji 样本集
yangbenju 样本矩
yangbenjunzhi 样本均值
yangbenkongjian 样本空间
yangbenlicha 样本离差
yangbenqujian 样本区间
yangbenxiefangcha 样本协方差
yangtiao 样条
yangtiaonihe 样条拟合
yangtiaoqumian 样条曲面
yangtiaoquxian 样条曲线
yaocaozuo 遥操作
yaoxian 遥现
yewu 业务
yewuhetong 业务合同
yewuliang 业务量
yewuliangguanli 业务量管理
yewuliangkongzhi 业务量控制
yebiankongbai 页边空白
yebiao 页表
yebiaochakan 页表查看
yebiaoxiang 页表项
yechi 页池
yedengdai 页等待
yedizhi 页地址
yediaochu 页调出
yediaoru 页调入
yefenpeibiao 页分配表
yehuishou 页回收
yekongzhikuai 页控制块
yemoshi 页模式
yeshidayinji 页式打印机
yeyingshebiao 页映射表
yezhen 页帧
yezhenbiao 页帧表
yejing 液晶
yejingxianshi 液晶显示
yejingyinshuaji 液晶印刷机
yeleng 液冷
yibanyonghu 一般用户
yidiantoushi 一点透视
yiduiyilianxi 一对一联系
yigeduixiang 一个对象
yijieju 一阶矩
yijielilun 一阶理论
yijieluoji 一阶逻辑
yizhiguji 一致估计
yizhixing 一致性
yizhixingceshi 一致性测试
yizhixingjianyan 一致性检验
yizhixingyueshu 一致性约束
yizhixingzhongyan 一致性重演
yixuechengxiang 医学成像
yicun 依存
yicunguanxishu 依存关系树
yicunjiegou 依存结构
yicunyufa 依存语法
yilaibaochi 依赖保持
yilaibian 依赖边
yilaifang 依赖方
yilaihu 依赖弧
yilaitu 依赖图
yilaixuexi 依赖学习
yibiao 仪表
yichu 移出
yidongdaili 移动代理
yidongjiqiren 移动机器人
yidongjisuan 移动计算
yidongjisuanji 移动计算机
yidongjingtou 移动镜头
yidongzhuti 移动主体
yipinjiankong 移频键控
yiru 移入
yiruguiyue 移入规约
yiweijicunqi 移位寄存器
yiweiqi 移位器
yiweiwang 移位网
yiweizhiling 移位指令
yichuancaozuo 遗传操作
yichuanjisuan 遗传计算
yichuansuanfa 遗传算法
yichuanxuexi 遗传学习
yiwangyinzi 遗忘因子
yiwen 彝文
yibiwenjian 已闭文件
yikaiwenjian 已开文件
yipeizhuntuxiang 已配准图像
yitaiwang 以太网
yiwu 义务
yibu 异步
yibubingxing 异步并行
yibubingxingxing 异步并行性
yibucaozuo 异步操作
yibuchuanshu 异步传输
yibuchuansong 异步传送
yibukongzhi 异步控制
yibushuaxin 异步刷新
yibusuanfa 异步算法
yibutongxin 异步通信
yibuzongxian 异步总线
yichang 异常
yichangchuli 异常处理
yichangzhongzhi 异常中止
yichangzhongzhi 异常终止
yigou 异构
yigoujiqun 异构机群
yigoujisuan 异构计算
yigouxingxitong 异构型系统
yigouzhuti 异构主体
yiti 异体
yitizi 异体字
yizhihu 抑止弧
yicixuanze 译词选择
yima 译码
yimaqi 译码器
yidiaoduxing 易调度性
yiguanlixing 易管理性
yikuochongxing 易扩充性
yikuosuoxing 易扩缩性
yikuozhande 易扩展的
yikuozhanxing 易扩展性
yiweihuxing 易维护性
yixiugaixing 易修改性
yiyizhixing 易移植性
yiyongxing 易用性
yimiao 疫苗
yishi 意识
yitu 意图
yitumoxing 意图模型
yiwaitingji 意外停机
yixiangsuo 意向锁
yixiangxitong 意向系统
yiyiyu 意义域
yichu 溢出
yichujiancha 溢出检查
yichuqu 溢出区
yichutong 溢出桶
yinguoluoji 因果逻辑
yinguotu 因果图
yinguotuili 因果推理
yinguoxing 因果性
yintewang 因特网
yinzifenjiefa 因子分解法
yinying 阴影
yingui 音轨
yinle 音乐
yinpin 音频
yinpinhecheng 音频合成
yinpinliu 音频流
yinpinshujuku 音频数据库
yinquandianji 音圈电机
yinxiao 音效
yindaochengxu 引导程序
yindaokouling 引导口令
yinjiao 引脚
yinjiaofenpei 引脚分配
yinjiaozhenliefengzhuang 引脚阵列封装
yinzhidiaoyong 引址调用
yinbixindao 隐蔽信道
yincangmianxiaochu 隐藏面消除
yincangwenjian 隐藏文件
yincangxianxiaochu 隐藏线消除
yincuo 隐错
yincuosabo 隐错撒播
yinhanshuxing 隐含属性
yinmian 隐面
yinshi 隐式
yinshibingxingxing 隐式并行性
yinshide 隐式的
yinshizhan 隐式栈
yinxian 隐线
yinshuaji 印刷机
yinshuati 印刷体
yinzhiban 印制板
yinzhibanbuju 印制板布局
yinzhibanbuxian 印制板布线
yinzhibanceshi 印制板测试
yinzhidianluban 印制电路板
yingwensuoxie 英文缩写
yingwensuoxieci 英文缩写词
yingbianjihua 应变计划
yingda 应答
yingjianniu 应急按钮
yingjijihua 应急计划
yingjiweixiu 应急维修
yingjizhuanchu 应急转储
yingyong 应用
yingyongceng 应用层
yingyongchengxujiekou 应用程序接口
yingyongfuwu 应用服务
yingyongfuwuqi 应用服务器
yingyonghuanjing 应用环境
yingyongjincheng 应用进程
yingyonglingyu 应用领域
yingyongluoji 应用逻辑
yingyongruanjian 应用软件
yingyongshengchengqi 应用生成器
yingshe 映射
yingshechengxu 映射程序
yingshedizhi 映射地址
yingshefangshi 映射方式
yingshehanshu 映射函数
yingcipan 硬磁盘
yingcuowu 硬错误
yingguzhang 硬故障
yingjian 硬件
yingjiananquan 硬件安全
yingjianceshi 硬件测试
yingjianduoxiancheng 硬件多线程
yingjianguzhang 硬件故障
yingjianjiankongqi 硬件监控器
yingjianjianyan 硬件检验
yingjianpeizhixiang 硬件配置项
yingjianpingtai 硬件平台
yingjianrongyu 硬件冗余
yingjianyanzheng 硬件验证
yingjianziyuan 硬件资源
yinglianxianluoji 硬连线逻辑
yinglianxiankongzhi 硬联线控制
yingpan 硬盘
yingpanqudongqi 硬盘驱动器
yingshanqugeshi 硬扇区格式
yingtingji 硬停机
yongsaikongzhi 拥塞控制
yongjiuguzhang 永久故障
yongjiuxudianlu 永久虚电路
yonghu 用户
yonghubiaoshi 用户标识
yonghubiaoshima 用户标识码
yonghudaili 用户代理
yonghudengluhao 用户登录号
yonghudingyixiaoxi 用户定义消息
yonghufenqu 用户分区
yonghufenshi 用户分时
yonghujiami 用户加密
yonghujianjie 用户简介
yonghujiekou 用户接口
yonghujiemian 用户界面
yonghumiyao 用户密钥
yonghuneicun 用户内存
yonghuqu 用户区
yonghurenwu 用户任务
yonghurenwuji 用户任务集
yonghurizhi 用户日志
yonghuwendang 用户文档
yonghuxianlu 用户线路
yonghuxiaoxi 用户消息
yonghuxingqu 用户兴趣
yonghuxuqiu 用户需求
yonghuxuanxiang 用户选项
yonghuzhan 用户栈
yonghuzhanzhizhen 用户栈指针
yonghuzhanghao 用户账号
yonghuzhidingxing 用户指定型
yonghuzhuti 用户主体
yonghuzhuce 用户注册
yonghuzhuxiao 用户注销
yonghuzhuangtaibiao 用户状态表
yonghuzuoye 用户作业
yonghuzuobiao 用户坐标
yonghuzuobiaoxi 用户坐标系
yongli 用例
yonglikuozhan 用例扩展
yonglitu 用例图
youxianduilie 优先队列
youxianji 优先级
youxianjibiao 优先级表
youxianjidiaodu 优先级调度
youxianjidiaozheng 优先级调整
youxianjikongzhi 优先级控制
youxianjixuanze 优先级选择
youxianjizhongduan 优先级中断
youxianjizuoye 优先级作业
youxianshu 优先数
youxianyueshu 优先约束
youjianfenfaqi 邮件分发器
youjianguanliyuan 邮件管理员
youjuxieyi 邮局协议
youzhengjuchang 邮政局长
youbiao 游标
youyuan 友元
youjiewang 有界网
youjiexing 有界性
youlijuchaifen 有理据拆分
youqiongxingwenti 有穷性问题
youqiongzidongji 有穷自动机
youshizhentuxiang 有失真图像
yousunyasuo 有损压缩
youxiandianji 有限点集
youxiankongzhiqi 有限控制器
youxianmubiao 有限目标
youxianwang 有限网
youxianyuanfa 有限元法
youxianyuanfenxi 有限元分析
youxianzhuangtaiji 有限状态机
youxianzidongji 有限自动机
youxianghu 有向弧
youxiangtu 有向图
youxiao 有效
youxiaoguocheng 有效过程
youxiaoqingqiu 有效请求
youxiaoshijian 有效时间
youxiaoshuru 有效输入
youxiaoshuzi 有效数字
youxiaowei 有效位
youxiaoxiang 有效项
youxiaoxinyuan 有效信元
youxiaoxing 有效性
youxiaoxingjiancha 有效性检查
youxiaozi 有效字
youxiaozifu 有效字符
youxiaozishu 有效字数
youxusousuo 有序搜索
youyuandiban 有源底板
youcheng 又称
youjuxing 右句型
youpipei 右匹配
youxianxingwenfa 右线性文法
youyi 右移
youfaguzhang 诱发故障
yuxian 逾限
yuxiankongzhi 逾限控制
yufeimen 与非门
yumen 与门
yufa 语法
yufafanchou 语法范畴
yufafenxi 语法分析
yufaguanxi 语法关系
yufashuxing 语法属性
yugou 语构
yujing 语境
yujingfenxi 语境分析
yujingjizhi 语境机制
yuju 语句
yuliaoku 语料库
yusufenjie 语素分解
yusushengcheng 语素生成
yuyan 语言
yuyanbiaozhun 语言标准
yuyanchuanlilun 语言串理论
yuyanhuoqu 语言获取
yuyanmoxing 语言模型
yuyanshibie 语言识别
yuyanxinxi 语言信息
yuyanxuelilun 语言学理论
yuyanxuemoxing 语言学模型
yuyanzhishiku 语言知识库
yuyi 语义
yuyichang 语义场
yuyicidian 语义词典
yuyifenxi 语义分析
yuyiheyi 语义合一
yuyijiyi 语义记忆
yuyijiancha 语义检查
yuyijuli 语义距离
yuyililun 语义理论
yuyishuxing 语义属性
yuyishu 语义树
yuyiwangluo 语义网络
yuyixiangguanxing 语义相关性
yuyixinxi 语义信息
yuyixue 语义学
yuyin 语音
yuyinchuli 语音处理
yuyinhecheng 语音合成
yuyinshibie 语音识别
yuyong 语用
yuyongfenxi 语用分析
yuyongxue 语用学
yubianma 预编码
yubianyichengxu 预编译程序
yucebianma 预测编码
yucekongzhi 预测控制
yucemoxing 预测模型
yuchongdian 预充电
yuchulichengxu 预处理程序
yudiaodusuanfa 预调度算法
yudingweixiu 预定维修
yufangxingweihu 预防性维护
yufenpei 预分配
yuqu 预取
yuqujishu 预取技术
yuyuebiao 预约表
yufenjie 域分解
yuming 域名
yumingfuwu 域名服务
yumingfuwuqi 域名服务器
yumingjiexi 域名解析
yumingxitong 域名系统
yuanbianyichengxu 元编译程序
yuanguihua 元规划
yuanguize 元规则
yuanjianshuxiaoshi 元件数小时
yuankemanzuxing 元可满足性
yuanmoxing 元模型
yuanshuju 元数据
yuanshujuku 元数据库
yuantuili 元推理
yuanwenjian 元文件
yuanxinling 元信令
yuanyufa 元语法
yuanyuyan 元语言
yuanzhishi 元知识
yuanzonghe 元综合
yuanzu 元组
yuanquwang 园区网
yuandi 原地
yuanlitu 原理图
yuanse 原色
yuanshishuju 原始数据
yuanxing 原型
yuanxingjiegou 原型结构
yuanxingsucheng 原型速成
yuanxingzhizuo 原型制作
yuanyu 原语
yuanzicaozuo 原子操作
yuanzigongshi 原子公式
yuanziguangbo 原子广播
yuanzixing 原子性
yuanhuchabu 圆弧插补
yuanjiao 圆角
yuansaomiao 圆扫描
yuanchengxu 源程序
yuandaoyuanzhuanhuan 源到源转换
yuandizhi 源地址
yuanfanliku 源范例库
yuanluyouqiaojie 源路由桥接
yuanluyousuanfa 源路由算法
yuanshujujianbie 源数据鉴别
yuanyuyan 源语言
yuanyuyancidian 源语言词典
yuanyuyanfenxi 源语言分析
yuanzukang 源阻抗
yuanchengbangong 远程办公
yuanchengchaxun 远程查询
yuanchengdenglu 远程登录
yuanchengfangfadiaoyong 远程方法调用
yuanchengfangwen 远程访问
yuanchengfuwu 远程服务
yuanchenggouwu 远程购物
yuanchengguochengdiaoyong 远程过程调用
yuanchenghuiyi 远程会议
yuanchengjiadian 远程加电
yuanchengjiaoshi 远程教室
yuanchengjiaoxue 远程教学
yuanchengjiaoyu 远程教育
yuanchengjinchengdiaoyong 远程进程调用
yuanchengkongzhi 远程控制
yuanchengzhenduan 远程诊断
yuanchengzhongduan 远程终端
yuanchengzixun 远程咨询
yuanchengzuoye 远程作业
yueding 约定
yueshu 约束
yueshuchuanbo 约束传播
yueshufangcheng 约束方程
yueshuguize 约束规则
yueshuhanshu 约束函数
yueshujuzhen 约束矩阵
yueshumanzu 约束满足
yueshutiaojian 约束条件
yueshutuili 约束推理
yueshuzhishi 约束知识
yuejiejilu 越界记录
yunxujiao 允许角
yunxuzhongduan 允许中断
yundong 运动
yundongbuchang 运动补偿
yundongfenxi 运动分析
yundongguji 运动估计
yundongjiance 运动检测
yundongkongzhi 运动控制
yundongtuxiang 运动图像
yundongxiangliang 运动向量
yundongyuce 运动预测
yundongzhongjian 运动重建
